Immune_Cell,Kruskal_Wallis_Chi_Squared,P_Value
B cell,19.744403404828,0.000191754428761327
Macrophage M1,23.1256370625983,3.80197035479732e-05
Macrophage M2,127.854210923091,1.56843399350841e-27
Monocyte,132.143254920049,1.86710770156592e-28
Neutrophil,8.62652183257236,0.0346915593083924
NK cell,65.039122402268,4.92029622625976e-14
T cell CD4+ (non-regulatory),13.5788054044363,0.00353831724228623
T cell CD8+,125.870719826431,4.1959761208692e-27
T cell regulatory (Tregs),86.492575608502,1.24091542351055e-18
Myeloid dendritic cell,91.7687632650934,9.13295266795517e-20
uncharacterized cell,21.5526689518539,8.08151756338355e-05
